,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
 [[Clostridium[gi|16929xxxx],0,0,0,0,0,0,1,0,0,0,0
Acidipropionibacterium acidipropionici[gi|50488xxxx],0,0,0,0,0,1,0,0,0,0,0
Acidithiobacillus ferrivorans SS3[gi|34377xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidithiobacillus ferrivorans[gi|50379xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidobacteriaceae bacterium KBS 96[gi|52221xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidocella aminolytica 101 = DSM 11237[gi|77529xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidocella aminolytica[gi|89005xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidomonas methanolica NBRC 104435[gi|60259xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidomonas methanolica[gi|75467xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidovorax avenae[gi|92788xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidovorax caeni[gi|93060xxxx],0,1,0,1,0,0,0,0,0,0,1
Acidovorax delafieldii 2AN[gi|24136xxxx],0,0,0,0,0,1,0,0,0,0,0
Acidovorax delafieldii[gi|49226xxxx],0,0,0,0,0,1,0,0,0,0,0
Acidovorax radicis[gi|91547xxxx],0,1,0,0,0,0,0,0,0,0,0
Acidovorax sp. JHL-3[gi|64017xxxx],0,1,0,0,0,0,0,0,0,0,1
Acidovorax sp. JHL-3[gi|64018xxxx],0,0,0,0,0,0,0,0,1,0,1
Acidovorax sp. Leaf191[gi|94516xxxx],0,0,0,0,0,0,0,0,1,0,1
Acidovorax sp. Leaf76[gi|94476xxxx],0,0,0,0,0,0,0,0,1,0,1
Acidovorax sp. Leaf84[gi|94477xxxx],0,0,0,0,0,0,0,0,0,0,1
Acidovorax sp. Leaf84[gi|94776xxxx],0,0,0,0,0,0,0,0,0,0,1
Acidovorax sp. MR-S7[gi|52455xxxx],0,0,0,0,0,0,1,0,0,0,0
Acidovorax sp. MR-S7[gi|90297xxxx],0,0,0,0,0,0,1,0,0,0,0
Acidovorax sp. NO-1[gi|36341xxxx],0,1,0,0,0,0,0,0,0,0,0
Acidovorax sp. NO-1[gi|73668xxxx],0,1,0,0,0,0,0,0,0,0,0
Acidovorax sp. Root267[gi|94626xxxx],0,1,0,0,0,0,0,0,0,0,0
Acidovorax sp. Root267[gi|94627xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidovorax sp. Root275[gi|94630xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidovorax sp. Root402[gi|94557xxxx],0,0,0,0,0,1,0,0,0,0,0
Acidovorax sp. Root402[gi|94739xxxx],0,0,0,0,0,1,0,0,0,0,0
Acidovorax sp. Root568[gi|94596xxxx],0,0,0,1,1,1,1,0,0,0,0
Acidovorax sp. Root70[gi|94607xxxx],0,0,0,1,1,1,1,0,0,0,0
Acidovorax sp. SD340[gi|94079xxxx],0,0,0,1,0,1,0,0,0,0,0
Acidovorax[gi|65760xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidovorax[gi|94798xxxx],0,0,0,1,1,1,0,0,0,0,0
Acinetobacter baumannii 1022959[gi|58940xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1032241[gi|58796xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1039621[gi|60220xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1039621[gi|60221xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1040094[gi|58797xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1040094[gi|58798xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1043794[gi|58798xxxx],1,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1058283[gi|59349xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1058283[gi|59350xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1062314[gi|58940xxxx],0,0,0,1,1,1,0,0,0,0,0
Acinetobacter baumannii 1064293_45[gi|58940xxxx],0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1064293_45[gi|58941xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1075025[gi|58801xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1096934[gi|58813xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1202252[gi|58778xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 1237202[gi|59351xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1267820[gi|58779xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter baumannii 1293320[gi|58945xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1294222[gi|59355xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1296252[gi|58938xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1397084[gi|58781xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1406750[gi|58782xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 144107[gi|58820xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1461963[gi|58785xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1525283[gi|58814xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 1598530[gi|63050xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 232184[gi|58822xxxx],1,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 233846[gi|63051xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter baumannii 25493_10[gi|59861xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25493_10[gi|59862xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25493_1[gi|59861xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25493_2[gi|59860xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25493_2[gi|59861xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25493_3[gi|59860xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25493_4[gi|59860xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25493_5[gi|59859xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25493_5[gi|59860xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25493_6[gi|59859xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25493_8[gi|59858xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25493_9[gi|59857xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25493_9[gi|59858xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25569_10[gi|63042xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_10[gi|63043xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25569_1[gi|60139xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_1[gi|60140xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25569_2[gi|60139xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_3[gi|60136xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_4[gi|60138xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_4[gi|60139xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25569_5[gi|60133xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_5[gi|60134xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25569_7[gi|60136xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_8[gi|61095xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_8[gi|61096xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 25569_9[gi|61094xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 25569_9[gi|61095xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 268680[gi|58823xxxx],1,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 299505[gi|58789xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 42887[gi|58820xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 42887[gi|58821xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 43926[gi|58816xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 43926[gi|58817xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45052_1[gi|60133xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45052_2[gi|63062xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45052_3[gi|60138xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45052_4[gi|61092xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45052_4[gi|61093xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 45052_5[gi|60137xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 45052_5[gi|60138xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_10[gi|63045xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_1[gi|62900xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_2[gi|62900xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_2[gi|62901xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 45075_3[gi|62901xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_5[gi|62903xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_6[gi|62904xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_8[gi|63038xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 45075_9[gi|63038xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 4749[gi|58792xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 562700[gi|58805xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 562700[gi|58806xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 655378[gi|60218xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 655378[gi|60219xxxx],0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 755829[gi|59362xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 781407[gi|58807xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 831240[gi|58824xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 855125[gi|63046xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 942194[gi|58811xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii 972082[gi|58810xxxx],0,1,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii 972082[gi|58811xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii CI78[gi|57203xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii IS-116[gi|40456xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii MRSN 3405[gi|83141xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii MRSN 3942[gi|83141xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii MRSN 4106[gi|83139xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii NIPH 146[gi|47991xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii NIPH 60[gi|47998xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii NIPH 80[gi|48013xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii Naval-57[gi|44478xxxx],0,0,0,1,1,1,0,0,0,0,0
Acinetobacter baumannii OIFC111[gi|41038xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii UH5207[gi|57168xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii UH6507[gi|57171xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter baumannii WC-A-92[gi|44476xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter baumannii[gi|44597xxxx],0,0,0,1,0,0,0,0,0,0,0
Acinetobacter baumannii[gi|44613xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|44628xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii[gi|44634xxxx],0,0,0,0,0,1,0,0,0,0,0
Acinetobacter baumannii[gi|44649xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|44708xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii[gi|44710xxxx],0,1,0,0,1,0,0,0,0,0,0
Acinetobacter baumannii[gi|48798xxxx],0,0,0,1,1,0,0,0,0,0,0
Acinetobacter baumannii[gi|49098xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|63889xxxx],0,0,0,0,0,0,0,0,1,0,0
Acinetobacter baumannii[gi|64591xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|66343xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|69097xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii[gi|69099xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter baumannii[gi|69100xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii[gi|69101xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter baumannii[gi|69102xxxx],0,0,0,0,0,1,1,0,0,0,0
Acinetobacter baumannii[gi|69105xxxx],0,0,0,0,0,1,1,0,0,0,0
Acinetobacter baumannii[gi|69116xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii[gi|74052xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|74135xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|74136xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|74181xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|75888xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|80646xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter baumannii[gi|80714xxxx],0,0,0,1,1,0,0,0,1,0,1
Acinetobacter baumannii[gi|80720xxxx],0,0,0,1,1,0,0,0,1,0,1
Acinetobacter baumannii[gi|80816xxxx],0,0,0,1,1,1,0,0,0,0,0
Acinetobacter baumannii[gi|80817xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter baumannii[gi|80874xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter baumannii[gi|81824xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter baumannii[gi|82129xxxx],0,0,0,0,0,1,1,0,0,0,0
Acinetobacter baumannii[gi|82201xxxx],0,0,0,0,0,1,1,0,0,0,0
Acinetobacter baylyi DSM 14961 = CIP 107474[gi|48001xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter beijerinckii CIP 110307[gi|48006xxxx],0,0,0,0,0,0,1,0,1,0,0
Acinetobacter beijerinckii[gi|49120xxxx],0,0,0,0,0,0,0,0,1,0,0
Acinetobacter bereziniae LMG 1003 = CIP 70.12[gi|48006xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter bereziniae NIPH 3[gi|47997xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter bereziniae[gi|49096xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter bohemicus ANC 3994[gi|47986xxxx],0,0,0,1,1,1,1,0,1,0,1
Acinetobacter bohemicus[gi|49078xxxx],0,0,0,1,1,1,1,0,1,0,1
Acinetobacter calcoaceticus ANC 3811[gi|50062xxxx],1,0,0,1,1,1,1,0,0,0,1
Acinetobacter calcoaceticus/baumannii complex[gi|44640xxxx],0,0,0,1,0,0,0,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|44645xxxx],0,0,0,0,1,0,0,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|44653xxxx],0,0,0,0,0,1,0,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|44668xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|49084xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|49127xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|69105xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter calcoaceticus/baumannii complex[gi|72772xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|74619xxxx],0,0,0,0,1,0,0,0,0,0,0
Acinetobacter calcoaceticus/baumannii complex[gi|91024xxxx],0,0,0,0,0,1,0,0,0,0,0
Acinetobacter calcoaceticus[gi|50706xxxx],1,0,0,1,1,1,1,0,0,0,1
Acinetobacter calcoaceticus[gi|74395xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter calcoaceticus[gi|75765xxxx],0,0,0,0,0,1,0,0,0,0,0
Acinetobacter calcoaceticus[gi|78000xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter guillouiae NIPH 991[gi|47997xxxx],0,1,0,0,0,0,0,0,1,0,1
Acinetobacter guillouiae[gi|49096xxxx],0,1,0,0,0,0,0,0,1,0,1
Acinetobacter gyllenbergii CIP 110306[gi|51411xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter gyllenbergii[gi|51497xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter haemolyticus ATCC 19194[gi|29282xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter haemolyticus CIP 64.3[gi|48007xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter haemolyticus CIP 64.3[gi|48008xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter haemolyticus MTCC 9819[gi|52390xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter haemolyticus[gi|49122xxxx],1,0,0,0,0,0,0,0,0,0,0
Acinetobacter haemolyticus[gi|51596xxxx],0,0,0,0,0,0,1,0,1,0,1
Acinetobacter idrijaensis[gi|69253xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter indicus ANC 4215[gi|51408xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter indicus ANC 4215[gi|51409xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter indicus CIP 110367[gi|55474xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter indicus[gi|51497xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter johnsonii CIP 64.6[gi|47988xxxx],0,1,0,0,0,0,0,0,1,0,1
Acinetobacter johnsonii CIP 64.6[gi|47989xxxx],0,1,0,0,0,0,0,0,0,0,0
Acinetobacter johnsonii SH046[gi|26231xxxx],0,1,0,0,0,0,0,0,1,0,1
Acinetobacter johnsonii[gi|49082xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter johnsonii[gi|49083xxxx],0,1,0,0,0,0,0,0,0,0,0
Acinetobacter johnsonii[gi|49154xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter johnsonii[gi|51596xxxx],0,1,0,0,0,0,0,0,0,0,0
Acinetobacter johnsonii[gi|51833xxxx],0,1,0,0,0,0,0,0,0,0,0
Acinetobacter junii SH205[gi|26231xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter junii[gi|74353xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter junii[gi|74865xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter junii[gi|75765xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter lwoffii ATCC 9957 = CIP 70.31[gi|48008xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter lwoffii ATCC 9957 = CIP 70.31[gi|48009xxxx],0,0,0,0,0,0,0,0,0,0,1
Acinetobacter lwoffii NIPH 715[gi|47991xxxx],0,0,0,0,0,0,0,1,0,0,0
Acinetobacter lwoffii SH145[gi|26230xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter lwoffii[gi|49124xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter lwoffii[gi|74864xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter nosocomialis 28F[gi|57576xxxx],0,0,0,0,0,0,1,0,0,0,0
Acinetobacter nosocomialis NIPH 2119[gi|47989xxxx],0,0,0,0,0,1,1,0,0,0,0
Acinetobacter nosocomialis[gi|49084xxxx],0,0,0,0,0,1,0,0,0,0,0
Acinetobacter nosocomialis[gi|74292xxxx],0,0,0,0,1,0,0,0,0,0,0
Acinetobacter nosocomialis[gi|94286xxxx],0,0,0,0,0,1,1,0,0,0,0
Acinetobacter oleivorans[gi|73450xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter parvus DSM 16617 = CIP 108168[gi|47988xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter pittii[gi|94275xxxx],0,0,0,1,0,1,1,0,0,0,0
Acinetobacter pittii[gi|94288xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter pittii[gi|94300xxxx],0,0,0,1,1,1,1,0,0,0,0
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788[gi|40318xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788[gi|48005xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter radioresistens NIPH 2130[gi|48004xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter radioresistens[gi|49115xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter radioresistens[gi|49116xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter radioresistens[gi|51596xxxx],0,0,0,0,0,0,0,0,1,0,1
Acinetobacter rudis CIP 110305[gi|51409xxxx],1,0,0,0,0,0,1,0,0,0,0
Acinetobacter rudis[gi|51496xxxx],1,0,0,0,0,0,1,0,0,0,0
